Ref,Val,Package,PosX,PosY,Rot,Side
"MX1","MX-NoLED","MX_1u_NoLED",33.337500,-57.150000,0.000000,top
"MX2","MX-NoLED","MX_1.25u_NoLED",35.718750,-76.200000,0.000000,top
"MX3","MX-NoLED","MX_1.75u_NoLED",40.481250,-95.250000,0.000000,top
"MX4","MX-NoLED","MX_1u_NoLED",52.387500,-57.150000,0.000000,top
"MX5","MX-NoLED","MX_1u_NoLED",57.150000,-76.200000,0.000000,top
"MX6","MX-NoLED","MX_1u_NoLED",66.675000,-95.250000,0.000000,top
"MX7","MX-NoLED","MX_1u_NoLED",71.437500,-57.150000,0.000000,top
"MX8","MX-NoLED","MX_1u_NoLED",76.200000,-76.200000,0.000000,top
"MX9","MX-NoLED","MX_1u_NoLED",85.725000,-95.250000,0.000000,top
"MX10","MX-NoLED","MX_1u_NoLED",90.487500,-57.150000,0.000000,top
"MX11","MX-NoLED","MX_1u_NoLED",95.250000,-76.200000,0.000000,top
"MX12","MX-NoLED","MX_1u_NoLED",104.775000,-95.250000,0.000000,top
"MX13","MX-NoLED","MX_1u_NoLED",109.537500,-57.150000,0.000000,top
"MX14","MX-NoLED","MX_1u_NoLED",114.300000,-76.200000,0.000000,top
"MX15","MX-NoLED","MX_1u_NoLED",123.825000,-95.250000,0.000000,top
"MX16","MX-NoLED","MX_1u_NoLED",128.587500,-57.150000,0.000000,top
"MX17","MX-NoLED","MX_1u_NoLED",133.350000,-76.200000,0.000000,top
"MX18","MX-NoLED","MX_1u_NoLED",142.875000,-95.250000,0.000000,top
"MX19","MX-NoLED","MX_1u_NoLED",147.637500,-57.150000,0.000000,top
"MX20","MX-NoLED","MX_1u_NoLED",152.400000,-76.200000,0.000000,top
"MX21","MX-NoLED","MX_1u_NoLED",161.925000,-95.250000,0.000000,top
"MX22","MX-NoLED","MX_1u_NoLED",166.687500,-57.150000,0.000000,top
"MX23","MX-NoLED","MX_1u_NoLED",171.450000,-76.200000,0.000000,top
"MX24","MX-NoLED","MX_1u_NoLED",180.975000,-95.250000,0.000000,top
"MX25","MX-NoLED","MX_1u_NoLED",185.737500,-57.150000,0.000000,top
"MX26","MX-NoLED","MX_1u_NoLED",190.500000,-76.200000,0.000000,top
"MX27","MX-NoLED","MX_1u_NoLED",200.025000,-95.250000,0.000000,top
"MX28","MX-NoLED","MX_1u_NoLED",204.787500,-57.150000,0.000000,top
"MX29","MX-NoLED","MX_1u_NoLED",209.550000,-76.200000,0.000000,top
"MX30","MX-NoLED","MX_1u_NoLED",219.075000,-95.250000,0.000000,top
"MX31","MX-NoLED","MX_1u_NoLED",223.837500,-57.150000,0.000000,top
"MX32","MX-NoLED","MX_1u_NoLED",228.600000,-76.200000,0.000000,top
"MX33","MX-NoLED","MX_1u_NoLED",238.125000,-95.250000,0.000000,top
"MX34","MX-NoLED","MX_1u_NoLED",242.887500,-57.150000,0.000000,top
"MX35","MX-NoLED","MX_1u_NoLED",247.650000,-76.200000,0.000000,top
"MX36","MX-NoLED","MX_1u_NoLED",257.175000,-95.250000,0.000000,top
"MX37","MX-NoLED","MX_1u_NoLED",261.937500,-57.150000,0.000000,top
"MX38","MX-NoLED","MX_1u_NoLED",266.700000,-76.200000,0.000000,top
"MX39","MX-NoLED","MX_1u_NoLED",276.225000,-95.250000,0.000000,top
"MX40","MX-NoLED","MX_1.75u_NoLED",288.131250,-57.150000,0.000000,top
"MX41","MX-NoLED","MX_1.5u_NoLED",290.512500,-76.200000,0.000000,top
"MX42","MX-NoLED","MX_1u_NoLED",295.275000,-95.250000,0.000000,top
"MX43","MX-NoLED","MX_2u_ReversedStabilizers_NoLED",152.400000,-95.250000,0.000000,top
"MX44","MX-NoLED","MX_2u_ReversedStabilizers_NoLED",171.450000,-95.250000,0.000000,top
